"IN";"Antiphona ad Introïtum";"Antienne d'Introït";"Entrance antiphon"
;"Ss. Michaelis, Gabrielis et Raphaelis, archangelorum";"St Michel, St Gabriel et St Raphaël, archanges";
;"S. Hieronymi, presbyteri et Ecclesiae doctoris";"St Jérôme, prêtre et docteur de l'Église";
;"S. Teresiae a Iesu Infante, virginis et Ecclesiae doctoris";"Ste Thérèse de l’Enfant-Jésus, vierge et docteur de l'Église";
;"Ss. Angelorum Custodum";"Saints Anges Gardiens";
;"S. Francisci Assisiensis";"St François d’Assise";
;"S. Brunonis, presbyteri";"St Bruno, prêtre";
;"B. Mariae Virginis a Rosario";"Bienheureuse Marie, Vierge du Rosaire";
;"Ss. Dionysii, episcopi, et sociorum, martyrum";"St Denis, évêque, et ses compagnons, martyrs";
;"S. Ioannis Leonardi, presbyteri";"St  Jean Léonardi, prêtre";
;"S. Callisti I, papae et martyris";"St Callliste 1er, pape et martyr";
;"S. Teresiae a Iesu, virginis et Ecclesiae doctoris";"Ste Thérèse d’Avila, vierge et docteur de l'Église";
;"S. Hedvigis, religiosae";"Ste Edwige, religieuse";
;"S. Margaritae Mariae Alacoque, virginis";"Ste Marguerite-Marie Alacoque, vierge";
;"S. Ignatii Antiocheni, episcopi et martyris";"St Ignace d’Antioche, évêque et martyr";
;"S. Lucae, evangelistae";"St Luc, évangéliste";
;"Ss. Ioannis de Brébeuf et Isaac Jogues, presbyterorum, et sociorum, martyrum";"Sts Jean de Brébeuf et Isaac Jogues, prêtres et leurs compagnons martyrs";
;"S. Pauli a Cruce, presbyteri";"St Paul de la Croix, prêtre";
;"S. Ioannis de Capestrano, presbyteri";"St Jean de Capistran, prêtre";
;"S. Antonii Mariae Claret, episcopi";"St Antoine-Marie Claret, évêque";
;"Ss. Simonis et Iudae, apostolorum";"Sts Simon et Jude, apôtres";
;"OMNIUM SANCTORUM";"TOUS LES SAINTS";
;"IN COMMEMORATIONE OMNIUM FIDELIUM DEFUNCTORUM";"COMMEMORATION DE TOUS LES FIDELES DEFUNTS";
;"S. Martini de Porres, religiosi";"St Martin de Porrès, religieux";
;"S. Caroli Borromeo, episcopi";"St Charles Borromée, évêque";
;"IN DEDICATIONE BASILICAE LATERANENSIS";"DEDICACE DE LA BASILIQUE DU LATRAN";
;"S. Leonis Magni, papae et Ecclesiae doctoris";"St Léon le Grand, pape et docteur de l'Église";
;"S. Martini Turonensis, episcopi";"St Martin de Tours, évêque";
;"S. Iosaphat, episcopi et martyris";"St Josaphat, évêque et martyr";
;"S. Alberti Magni, episcopi et Ecclesiae doctoris";"St Albert le Grand, évêque et docteur de l'Église";
;"S. Margaritae Scotiae";"Ste Gertrude, vierge";
