"Mois";"libre";"Spécifique";"Jour";"Intitulé";"Rang";"Couleur";"Rang"
10;"d";;4;"St François d’Assise";"Mémoire obligatoire";"Blanc";10
10;"e";;5;;;;
10;"f";;6;"St Bruno, prêtre";"Mémoire facultative";;12
10;"g";;7;"Bienheureuse Marie, Vierge du Rosaire";"Mémoire obligatoire";"Blanc";10
10;"A";;8;;;;
10;"b";;9;"St Denis, évêque, et ses compagnons, martyrs";"Mémoire facultative";;12
10;"b";;9;"St  Jean Léonardi, prêtre";"Mémoire facultative";;12
10;"c";;10;;;;
10;"d";;11;;;;
10;"e";;12;;;;
10;"f";;13;;;;
10;"g";;14;"St Calixte 1er, pape et martyr";"Mémoire facultative";;12
10;"A";;15;"Ste Thérèse d’Avila, vierge et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
10;"b";;16;"Ste Edwige, religieuse";"Mémoire facultative";;12
10;"b";;16;"Ste Marguerite-Marie Alacoque, vierge";"Mémoire facultative";;12
10;"c";;17;"St Ignace d’Antioche, évêque et martyr";"Mémoire obligatoire";"Rouge";10
10;"d";;18;"St Luc, évangéliste";"Fête";"Blanc";7
10;"e";;19;"Sts Jean de Brébeuf et Isaac Jogues, prêtres et leurs compagnons martyrs";"Mémoire facultative";;12
10;"e";;19;"St Paul de la Croix, prêtre";"Mémoire facultative";;12
10;"f";;20;;;;
10;"g";;21;;;;
10;"A";;22;;;;
10;"b";;23;"St Jean de Capistran, prêtre";"Mémoire facultative";;12
10;"c";;24;"St Antoine-Marie Claret, évêque";"Mémoire facultative";;12
10;"d";;25;;;;
10;"e";;26;;;;
10;"f";;27;;;;
10;"g";;28;"Sts Simon et Jude, apôtres";"Fête";"Rouge";7
10;"A";;29;;;;
10;"b";;30;;;;
10;"c";;31;;;;
11;"d";;1;"TOUS LES SAINTS";"Solennité";"Blanc";3
11;"e";;2;"TOUS LES FIDELES DEFUNTS";"Commémoraison";"Noir";3
11;"f";;3;"St Martin de Porrès, religieux";"Mémoire facultative";;12
11;"g";;4;"St Charles Borromée, évêque";"Mémoire obligatoire";"Blanc";10
11;"A";;5;;;;
11;"b";;6;;;;
11;"c";;7;;;;8
11;"d";;8;;;;
11;"e";;9;"Dédicace de la Basilique du Latran";"Fête";"Blanc";5
11;"f";;10;"St Léon le Grand, pape et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
11;"g";;11;"St Martin de Tours, évêque";"Mémoire obligatoire";"Blanc";10
11;"A";;12;"St Josaphat, évêque et martyr";"Mémoire obligatoire";"Rouge";10
11;"b";;13;;;;
11;"c";;14;;;;
11;"d";;15;"St Albert le Grand, évêque et docteur de l'Église";"Mémoire facultative";;12
11;"e";;16;"Ste Gertrude, vierge";"Mémoire facultative";;12
11;"e";;16;"Ste Marguerite d'Écosse";"Mémoire facultative";;12
11;"f";;17;"Ste Élisabeth de Hongrie, religieuse";"Mémoire obligatoire";"Blanc";10
11;"g";;18;"Dédicace des basiliques de Sts Pierre et Paul, apôtres";"Mémoire facultative";;12
11;"A";;19;;;;
11;"b";;20;;;;
11;"c";;21;"Présentation de la Bienheureuse Vierge Marie";"Mémoire obligatoire";"Blanc";10
11;"d";;22;"Ste Cécile, vierge et martyre";"Mémoire obligatoire";"Rouge";10
11;"e";;23;"St Clément Ier, pape et martyr";"Mémoire facultative";;12
11;"e";;23;"St Colomban, abbé";"Mémoire facultative";;12
11;"f";;24;"St-André Dung-Lac, prêtre et ses compagnons martyrs";"Mémoire obligatoire";"Rouge";10
11;"g";;25;"Ste Catherine d'Alexandrie, vierge et martyre";"Mémoire facultative";;12
11;"A";;26;;;;
11;"b";;27;;;;
11;"c";;28;;;;
11;"d";;29;;;;
11;"e";;30;"St André, apôtre";"Fête";"Rouge";7
12;"f";;1;;;;
12;"g";;2;;;;
12;"A";;3;"St François-Xavier, prêtre";"Mémoire obligatoire";"Blanc";10
12;"b";;4;"St Jean Damascène, prêtre et docteur de l'Église";"Mémoire facultative";;12
12;"c";;5;;;;
12;"d";;6;"St Nicolas, évêque";"Mémoire facultative";;12
12;"e";;7;"St Ambroise, évêque et docteur de l'Église";"Mémoire obligatoire";"Blanc";10
